venue,date,what,genre,sponsor,department,audience_count,days_committed,av_staff,pac_staff,support_level,audio_needs,stage_needs,lighting_needs,projection,video_recording,live_stream,poster,program,reception,term,livestream,department_type,event_type,year,term_category
Kracum,2022-04-23,GUEST: Mark Stewart,Electric Guitar Solo,Concert Series,MUSC,66,1,2,5,L,M,L,L,N,N,N,NA,Y,N,S22,NA,MUSC,Guest,2021-2022,Spring
Kracum,2022-04-29,GUEST: Nakamatsu & Manasse Duo,Clarinet + Piano Duo,Concert Series,MUSC,64,1,1,4,L,L,L,L,N,N,N,NA,Y,N,S22,NA,MUSC,Guest,2021-2022,Spring
Kracum,2022-05-01,GUEST: Isles Ensemble,Chamber Ensemble,Concert Series,MUSC,45,1,1,5,L,L,M,L,N,Y,N,NA,Y,N,S22,NA,MUSC,Guest,2021-2022,Spring
Kracum,2022-05-07,GUEST: The Singers,Choir,Concert Series,MUSC,121,1,2,4,H,M,H,L,Y,N,N,NA,Y,N,S22,NA,MUSC,Guest,2021-2022,Spring
Kracum,2022-10-13,GUEST: SPCO,Chamber Orchestra,SPCO & Redleaf Family Chair & HRK Family,MUSC,226,1,1,4,H,L,H,L,N,N,N,Y,N,N,F22,NA,MUSC,Guest,2022-2023,Fall
Kracum,2023-01-15,GUEST: Erin Keefe Concert,Violin + Piano Duo,Concert Series,MUSC,99,2,1,5,L,L,L,L,N,Y,NA,Y,Y,N,W23,N,MUSC,Guest,2022-2023,Winter
Kracum,2023-02-04,EDN Concert,Experimental Chamber Music,Concert Series,MUSC,NA,1,3,5,H,H,H,M,N,Y,NA,Y,Y,N,W23,N,MUSC,Guest,2022-2023,Winter
Applebaum,2023-02-11,GUEST: Joan Griffith,Guitar + Mandolin Solo,Concert Series,MUSC,40,1,2,4,L,L,L,L,N,Y,NA,Y,Y,N,W23,N,MUSC,Guest,2022-2023,Winter
Kracum,2023-02-17,Symphony & GUEST: CSB Concert,Brass Chamber Ensemble,Southeastern Minnesota Arts Council,MUSC,130,2,4,6,H,M,H,M,N,Y,NA,Y,Y,N,W23,Y,MUSC,Guest,2022-2023,Winter
Kracum,2023-04-07,GUEST: Sara Davis Buechner - Concert,Piano Solo,Concert Series,MUSC,112,1,3,5,L,L,L,L,N,Y,NA,Y,Y,N,S23,N,MUSC,Guest,2022-2023,Spring
Kracum,2023-04-15,GUEST: Leonard Jacome - Concert,Venezuelan Electric Harp,Concert Series,MUSC,96,1,4,4,M,H,M,M,N,Y,NA,Y,Y,N,S23,N,MUSC,Guest,2022-2023,Spring
Kracum,2023-04-28,GUEST: Emery Stephens - Concert,African American Spirit Music,Concert Series,MUSC,54,3,4,6,H,M,M,H,Y,Y,NA,N,Y,N,S23,N,MUSC,Guest,2022-2023,Spring
Kracum,2023-05-07,"Rodman Electric Theater, 1923 - Concert",Theater Orchestra,Office of the Provost,MUSC,67,2,4,6,L,L,L,M,Y,Y,NA,Y,Y,N,S23,N,MUSC,Guest,2022-2023,Spring
Kracum,2023-05-14,GUEST:  Bamako Foli Concert,Djembe Music and Dance,Concert Series,MUSC,135,2,4,6,M,L,L,L,N,Y,NA,Y,N,N,S23,N,MUSC,Guest,2022-2023,Spring
Kracum,2023-09-29,GUEST: Laura Viers - Concert (guitar & voice),Voice Solo,Concert Series,MUSC,50,1,3,5,L,M,L,M,N,Y,NA,Y,Y,Y,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2023-10-06,GUEST: Sequentia - Concert (voice),Medieval Voice Ensemble,Concert Series,HIST & ODOA & MUSC,187,2,3,6,L,L,L,L,Y,Y,NA,Y,Y,N,F23,N,Collab,Guest,2023-2024,Fall
Kracum,2023-10-08,"GUEST: Helen Chang Concert (violin, piano, cello)",Violin + Piano + Cello Trio,Concert Series,MUSC,43,2,2,6,L,L,L,L,N,Y,NA,Y,Y,Y,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2023-10-19,GUEST: SPCO - Concert,Chamber Orchestra,SPCO & Redleaf Family Chair & HRK Family,MUSC,260,1,2,5,M,L,H,L,N,N,NA,Y,N,N,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2023-10-29,GUEST: Voces8 - Concert,Choir,Concert Series,MUSC,277,1,2,9,H,L,H,H,N,Y,NA,Y,Y,Y,F23,N,MUSC,Guest,2023-2024,Fall
Kracum,2024-01-18,GUEST: Vijay Iyer Trio - Concert,Jazz Trio - Piano + Bass + Percussion,2024 Ward Lucas Lectureship in the Arts,MUSC,200,2,2,7,M,H,M,L,N,N,NA,Y,Y,Y,W24,N,MUSC,Guest,2023-2024,Winter
Kracum,2024-02-01,GUEST: Adam Levy Trio - Concert,Jazz Trio - Electric Guitar + Drums + Duoble Bass,Concert Series,MUSC,95,1,5,4,M,H,M,L,N,Y,NA,Y,Y,N,W24,N,MUSC,Guest,2023-2024,Winter
Kracum,2024-02-18,"Chinese Music Concert w/ GUESTS (erhu, guzheng)",Chinese Music Ensemble,Elizabeth Nason Distinguished Women Visitors Fund + Lam Family,MUSC,196,2,4,4,H,H,H,L,N,Y,NA,Y,Y,N,W24,Y,MUSC,Guest,2023-2024,Winter
Kracum,2024-02-23,GUEST: fivebyfive,Chamber Quintet,Concert Series,MUSC,130,1,4,5,H,M,H,M,Y,Y,NA,Y,Y,N,W24,N,MUSC,Guest,2023-2024,Winter
Kracum,2024-04-05,GUEST: Susanne Farrin & EDN - Concert,Composition + Chamber,Elizabeth Nason Distinguished Women Visitors Fund + Light Lectureship,MUSC,50,3,4,6,H,H,M,H,N,Y,NA,N,N,Y,S24,N,MUSC,Guest,2023-2024,Spring
Kracum,2024-04-12,GUEST: Christopher Taylor - Concert (piano),Piano Solo,Concert Series,MUSC,133,2,3,5,L,L,M,L,N,Y,NA,Y,Y,N,S24,N,MUSC,Guest,2023-2024,Spring
Kracum,2024-04-20,GUEST: Les Arrivants,Bandoneon + Tombak + Oud Trio,Concert Series,MUSC,55,1,3,6,M,H,M,L,N,Y,NA,Y,Y,N,S24,N,MUSC,Guest,2023-2024,Spring
Kracum,2024-05-11,GUEST: Charlie Parr,Voice + Guitar Solo,Concert Series,MUSC,27,1,3,4,M,M,M,L,N,N,NA,N,N,Y,S24,N,MUSC,Guest,2023-2024,Spring
